sensor,first_date,last_date,n_days,n_sensor_days,n_rows
SN_01001,2026-02-01,2026-07-19,147,147,275294
SN_01002,2026-01-27,2026-07-19,164,164,314634
SN_01003,2026-01-27,2026-07-19,149,149,283394
SN_01004,2026-01-27,2026-07-19,147,147,282512
SN_01005,2026-02-01,2026-05-07,88,88,172735
SN_01006,2026-01-27,2026-07-19,147,147,278695
SN_01007,2026-02-01,2026-07-19,146,146,288965
SN_01008,2026-01-27,2026-07-19,163,163,310178
SN_01009,2026-02-01,2026-07-19,148,148,296643
SN_01010,2026-02-01,2026-05-07,88,88,174423
SN_01011,2026-01-27,2026-07-19,148,148,294080
SN_01012,2026-02-01,2026-05-13,19,19,20519
SN_01013,2026-01-27,2026-07-19,161,161,224107
SN_01014,2026-01-27,2026-07-19,162,162,329849
SN_01015,2026-01-27,2026-07-16,146,146,281257
SN_01016,2026-02-01,2026-07-19,147,147,297849
SN_01017,2026-01-27,2026-07-19,149,149,283599
SN_01018,2026-01-27,2026-07-19,157,10,122821
SN_01019,2026-02-01,2026-07-19,148,148,294426
SN_01020,2026-01-27,2026-07-19,144,144,277758
SN_01021,2026-02-02,2026-07-19,143,143,271547
SN_01023,2026-02-03,2026-04-08,64,64,124525
