sensor,digester_m3,age,gender_male,household_size,n_dairy,n_non_dairy,n_goats,n_sheep,income,affordability,feeding_freq,feeds_per_day,dung_fed_frac,fuel_replacement,experience,lsu
SN_01008,12,80,1,8,12.0,0.0,0.0,3.0,5,4,0.5,0.5,0.75,5,4,8.7
SN_01003,12,54,0,6,0.0,0.0,0.0,0.0,5,4,2.0,0.5,0.75,5,4,0.0
SN_01016,12,58,0,5,5.0,0.0,0.0,0.0,3,2,7.0,1.0,1.0,5,4,3.5
SN_01018,8,72,0,5,10.0,0.0,0.0,2.0,5,4,5.0,0.5,0.75,5,3,7.2
SN_01015,12,67,0,6,3.0,0.0,0.0,0.0,3,4,7.0,1.0,1.0,5,4,2.1
SN_01017,8,59,1,7,1.0,0.0,0.0,4.0,4,4,2.0,0.5,1.0,5,3,1.1
SN_01011,12,52,0,5,6.0,0.0,10.0,0.0,4,4,7.0,0.5,0.75,5,4,5.2
SN_01014,12,67,1,3,2.0,0.0,0.0,0.0,3,4,7.0,0.5,0.75,5,4,1.4
SN_01013,10,50,0,9,3.0,0.0,0.0,0.0,3,4,2.0,0.5,1.0,5,4,2.1
SN_01006,10,50,1,7,4.0,0.0,0.0,0.0,4,4,7.0,0.5,0.75,5,4,2.8
SN_01004,10,69,1,3,7.0,0.0,0.0,0.0,3,4,7.0,0.5,0.75,5,4,4.9
SN_01001,8,46,0,4,5.0,0.0,0.0,0.0,4,4,7.0,2.0,0.75,5,4,3.5
SN_01012,8,66,1,10,2.0,0.0,0.0,0.0,4,2,7.0,1.0,1.0,5,3,1.4
SN_01009,12,65,0,7,6.0,0.0,0.0,0.0,3,4,7.0,1.0,0.75,5,4,4.2
SN_01021,12,61,0,3,3.0,0.0,6.0,0.0,3,4,7.0,0.5,0.75,5,4,2.7
SN_01019,12,67,1,6,8.0,0.0,0.0,0.0,3,3,7.0,0.5,0.75,5,4,5.6
SN_01007,10,60,0,5,4.0,0.0,0.0,1.0,3,2,7.0,1.0,0.75,5,4,2.9
SN_01020,8,61,1,5,1.0,0.0,0.0,2.0,3,3,7.0,1.0,0.75,3,4,0.9
SN_01023,12,71,1,5,3.0,0.0,0.0,0.0,4,3,7.0,1.0,1.0,5,4,2.1
SN_01002,12,45,0,6,3.0,0.0,0.0,3.0,4,4,7.0,1.0,1.0,5,3,2.4
